name,trading_name,nzbn,street,suburb,postcode,phone,email,website,facebook,instagram,x,linkedin,sources,last_seen_date,notes
Mangawhai Tavern,,,2 Moir Street,Mangawhai,0505,+6494314505,,https://themangawhaitavern.co.nz,,,,,wanderlog;mangawhaiheadsholidaypark,2026-05-03,bars-pubs-breweries; restaurant + pub
Bennetts of Mangawhai,Bennetts Cafe & Chocolate,,52 Moir Street,Mangawhai,0505,+6494315500,,https://bennettschocolate.co.nz,,https://www.instagram.com/bennettsbakerynz/,,,wanderlog;allpressespresso;nzherald,2026-05-03,cafe + bakery + chocolate factory; categories: cafes-restaurants + bakeries
Wood Street Pizzeria,,,12a Wood Street,Mangawhai Heads,0505,+6494314051,,https://woodstreetpizzeria.co.nz,,,,,wanderlog;mangawhaiheadsholidaypark,2026-05-03,pizza + bar; categories: cafes-restaurants + bars-pubs-breweries
Frog & Kiwi Restaurant,,,6 Molesworth Drive,Mangawhai,0505,+6494314439,,https://www.facebook.com/FrogAndKiwiRestaurant,https://www.facebook.com/FrogAndKiwiRestaurant,,,,wanderlog,2026-05-03,French restaurant — possibly same address as Corner Bistro; verify before publish
The Corner Bistro,,,6 Molesworth Drive,Mangawhai,0505,+6494314439,,https://cornerbistro.co.nz,,,,,wanderlog,2026-05-03,note shared phone with Frog & Kiwi — confirm trading status
Stingray Matt's Takeaway,,,1/7 Wood Street,Mangawhai Heads,0505,+6494314279,,https://onlineordering.nz/api/fb/_nk_z_q6,https://www.facebook.com/stingraymattstakeway/,,,,wanderlog,2026-05-03,fish & chips; categories: takeaways-food-trucks
Gringas,Gringas Mexican,,Shop 15 & 16/7 Wood Street,Mangawhai Heads,0505,+64275604417,,https://gringas.co.nz,https://www.facebook.com/GringasMangawhai,,,,wanderlog;mangawhaiheadsholidaypark,2026-05-03,Mexican — also operates as food truck
The Cow Shed and Shop,,,Moir Street,Mangawhai,0573,,,https://thecowshedandshop.co.nz,,,,,wanderlog;tripadvisor,2026-05-03,BBQ / European
Madly Indian Mangawhai,,,7 Wood Street,Mangawhai Heads,0505,+6494313132,,https://madlyindianmangawhai.com,,,,,wanderlog;tripadvisor,2026-05-03,Indian
Oasis Bar & Eatery,,,188 Molesworth Drive,Mangawhai Heads,0505,+6494314111,,https://www.facebook.com/oasismangawhai,https://www.facebook.com/oasismangawhai,,,,wanderlog,2026-05-03,cafe + bar; categories: cafes-restaurants + bars-pubs-breweries
Sandbar Mangawhai,Sandbar Eatery,,7 Wood Street,Mangawhai Heads,0505,,,https://www.sandbarmangawhai.co.nz,https://www.facebook.com/sandbarmangawhai/,,,,wanderlog;sandbarmangawhai;facebook,2026-05-03,cafes-restaurants
Mangawhai Deli,,,3/7 Wood Street,Mangawhai Heads,0505,+6494315887,,https://www.facebook.com/shop3sevenwoodstmangawhaiheads,https://www.facebook.com/shop3sevenwoodstmangawhaiheads,,,,wanderlog,2026-05-03,deli
The Dune,,,40 Moir Street,Mangawhai,0505,+6494315695,,,,,,,wanderlog,2026-05-03,gastropub
No8 Mangawhai,,,40 Moir Street,Mangawhai,0505,+6494313383,,,,,,,wanderlog,2026-05-03,Asian — same address as The Dune; verify
The BBQ Hut Mangawhai,,,1a Molesworth Drive,Mangawhai,0505,+64274794442,,https://thebbqhut.co.nz,,,,,wanderlog,2026-05-03,cafe + takeaway
Mangawhai Pizzeria,,,41 Moir Street,Mangawhai,0505,+6494315226,,https://www.facebook.com/MangawhaiPizzeria,https://www.facebook.com/MangawhaiPizzeria,,,,wanderlog;tripadvisor,2026-05-03,pizza; website=facebook (only web presence)
Mangawhai Meat Shop,Klink's Family Deli,,43 Moir Street,Mangawhai,0505,+6494314564,,https://mangawhaimeats.co.nz,,,,,wanderlog,2026-05-03,butcher + deli; categories: shops-boutiques + cafes-restaurants
Brewed As Cafe,Brewed As Collective,,Shop 13 & 14 / 7 Wood Street,Mangawhai Heads,0505,0226348834,brewed.intentions@gmail.com,https://www.brewedas.com,https://www.facebook.com/brewedasmangawhai,https://www.instagram.com/brewedas,,,brewedas.com,2026-05-03,cafes-restaurants; cafe by day bar by night; coffee and vegan; categories: cafes-restaurants
Bunker Sports Bar,,,3 Main Street,Mangawhai,,,,https://thebunkersportsbar.co.nz,,,,,mangawhaiheadsholidaypark,2026-05-03,bar
HEAD ROCK Bakery,,,,Mangawhai,,,,https://www.facebook.com/countrybakeheadrock/,https://www.facebook.com/countrybakeheadrock/,,,,bennetts-bakery-search,2026-05-03,country bakery; website=facebook (only web presence)
Coast 2 Coast,Coast 2 Coast Events,,14 Wood Street,Mangawhai,0505,,,https://coast2coastevents.co.nz,,,,,coast2coastevents,2026-05-03,food truck — operates from family bach when not at events
Mangawhai Tavern Market,,,2 Moir Street,Mangawhai,0505,,,https://www.mangawhaitavernmarket.co.nz,,,,,mangawhaiinfo;wanderlog,2026-05-03,Saturday market 8.30am-1pm; community/event
Brookelane Vineyard,,,,Mangawhai Valley,,,,http://brookelanevineyard.com,https://www.facebook.com/TeWhaiBayWines,,,,northlandnz;tripadvisor,2026-05-03,wineries-vineyards; cellar door 11am-5pm summer
Millars Vineyard,,,26 Bush Lane,Mangawhai,,+6494314326,,http://millarsvineyard.co.nz,https://www.facebook.com/millars.vineyard/,,,,bestwineries;nzwine,2026-05-03,wineries-vineyards
Te Whai Bay Wines,,,367 King Road,Mangawhai,,,,https://www.facebook.com/TeWhaiBayWines/,https://www.facebook.com/TeWhaiBayWines/,,,,facebook,2026-05-03,wineries-vineyards; website=facebook (only web presence)
